"mun","uf","total","agropecuaria","industria","servicos","adm","s_agropecuaria","s_industria","s_servicos","s_adm"
"Faro ","PA",49710,10172,2273,9177,28089,0.204626835646751,0.0457252061959364,0.184610742305371,0.565057332528666
"Floresta do Araguaia ","PA",318249,149356,44816,61075,63003,0.469305480928455,0.140820552460495,0.191909479684147,0.197967629120594
"Garrafão do Norte ","PA",186109,53739,8423,36938,87009,0.288750141046376,0.0452584238268971,0.198475087180093,0.467516347946633
"Goianésia do Pará ","PA",311906,70098,29290,83659,128859,0.224740787288478,0.0939064974703917,0.26821862997185,0.41313408526928
"Gurupá ","PA",186622,49325,6406,30890,100001,0.264304315675537,0.0343260708812466,0.165521749847285,0.535847863595932
"Igarapé-Açu ","PA",283378,84027,19429,74569,105353,0.296519136983111,0.0685621325579262,0.263143222127335,0.371775508331628
"Igarapé-Miri ","PA",424060,131370,18487,79895,194308,0.309791067301797,0.043595245955761,0.188404942696788,0.458208744045654
"Inhangapi ","PA",91536,36213,9741,12112,33471,0.395614840062926,0.106417147351862,0.132319524558644,0.365659412690089
"Ipixuna do Pará ","PA",420721,73220,111277,63604,172619,0.174034573981332,0.264491194877365,0.151178572022789,0.410293282246429
"Irituia ","PA",187605,47795,8275,44598,86937,0.254763998827323,0.0441086324991338,0.237722875189894,0.463404493483649
"Itaituba ","PA",1419153,217644,298561,608006,294942,0.153361899668323,0.210379712405921,0.428428788157443,0.207829599768313
"Itupiranga ","PA",437403,158339,21694,96224,161146,0.36199797440804,0.0495972821402688,0.219989346209331,0.36841539724236
"Jacareacanga ","PA",175347,20763,8411,23342,122831,0.118410922342555,0.0479677439591211,0.13311890137841,0.700502432319914
"Jacundá ","PA",425415,55749,37555,155386,176725,0.131046154931067,0.0882785045191166,0.36525745448562,0.415417886064196
"Juruti ","PA",735765,80639,275193,200468,179465,0.109598852894606,0.37402295569917,0.272461995338185,0.243916196068038
"Limoeiro do Ajuru ","PA",391342,281338,4895,21538,83570,0.718905714183502,0.0125082408737115,0.0550362598443305,0.213547229788778
"Mãe do Rio ","PA",252240,22005,22020,110049,98166,0.0872383444338725,0.0872978116079924,0.436286869647954,0.389176974310181
"Magalhães Barata ","PA",56624,19243,2177,11195,24009,0.33983823113874,0.0384465950833569,0.197707685786945,0.424007487990958
"Marabá ","PA",6513773,270657,2822975,2492248,927893,0.0415514940419324,0.433385535541383,0.382612043741776,0.142450926674909
"Maracanã ","PA",183481,47283,7518,32213,96467,0.257699707326644,0.0409742698154032,0.175565862405372,0.525760160452581
"Marapanim ","PA",179264,34879,7635,44291,92458,0.194567788289896,0.0425908157800785,0.247071358443413,0.515764459121742
"Marituba ","PA",1380237,4075,167637,808345,400181,0.00295239150957408,0.12145522834122,0.585656666210223,0.289936438452237
"Medicilândia ","PA",602358,364077,34755,111775,91751,0.604419630850757,0.057698245893638,0.185562406409477,0.152319716846128
"Melgaço ","PA",136994,20185,4372,18627,93809,0.147342219367272,0.0319138064440778,0.135969458516431,0.684767216082456
"Mocajuba ","PA",236317,96458,8825,47236,83799,0.408172073951514,0.0373439067015915,0.199884054046048,0.354604196905005
"Moju ","PA",696309,215785,66377,159378,254769,0.309898335365477,0.0953269310033333,0.228889760149589,0.365884973481601
"Mojuí dos Campos ","PA",122354,42229,6941,23998,49186,0.345137878614512,0.0567288360004577,0.196135802670938,0.401997482714092
"Monte Alegre ","PA",591659,232316,31112,129929,198302,0.392651848446487,0.0525843433464208,0.219601155395253,0.335162652811839
"Muaná ","PA",227494,88427,7840,27120,104107,0.388700361328211,0.0344624473612491,0.119211935259831,0.457625256050709
"Nova Esperança do Piriá ","PA",169215,64145,9085,32625,63361,0.379073959164377,0.0536890937564637,0.19280205655527,0.37444080016547
